id,listing_url,scrape_id,host_id,host_name,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
10686406,https://www.airbnb.com/rooms/10686406,2.0171E+13,55207670,David,,f,1,1,Queens,NY,11106,Apartment,Private room,2,2,1,1,Real Bed,$65.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,1,
3206224,https://www.airbnb.com/rooms/3206224,2.0171E+13,16245414,Shae,89%,f,5,5,Brooklyn,NY,11221,Apartment,Entire home/apt,4,2,1,2,Real Bed,$130.00 ,,"$2,500.00 ",$100.00 ,$35.00 ,3,$25.00 ,125,84,9,9,9,9,8,8,strict,5,3.1
1236433,https://www.airbnb.com/rooms/1236433,2.0171E+13,2884843,Tori,,f,1,1,New York,NY,10011,Apartment,Entire home/apt,6,1,2,4,Real Bed,$360.00 ,,,,$100.00 ,1,$0.00 ,12,88,9,8,9,9,10,8,strict,1,0.23
13380,https://www.airbnb.com/rooms/13380,2.0171E+13,52233,Ramin,,f,1,1,Brooklyn,NY,11211,Apartment,Entire home/apt,2,1,1,1,Real Bed,$100.00 ,,"$3,000.00 ",$250.00 ,$150.00 ,1,$0.00 ,5,100,10,10,10,10,10,10,strict,1,0.1
13812310,https://www.airbnb.com/rooms/13812310,2.0171E+13,74885349,Kimberly,100%,f,1,1,Brooklyn,NY,11207,Apartment,Entire home/apt,4,1,1,1,Real Bed,$129.00 ,,,$500.00 ,$100.00 ,2,$50.00 ,15,87,10,9,9,9,8,9,strict,1,1.05
4598697,https://www.airbnb.com/rooms/4598697,2.0171E+13,3178099,Tammy,,f,1,1,Brooklyn,NY,11226,Apartment,Private room,1,1,1,1,Futon,$38.00 ,$300.00 ,,,$50.00 ,1,$0.00 ,1,80,8,8,10,10,10,8,flexible,1,0.07
12303,https://www.airbnb.com/rooms/12303,2.0171E+13,47618,Yolande,83%,f,1,1,Brooklyn,NY,11205,Apartment,Private room,2,2,1,1,Real Bed,$120.00 ,,,,$60.00 ,1,$20.00 ,24,100,10,10,10,10,9,10,moderate,1,0.27
14519882,https://www.airbnb.com/rooms/14519882,2.0171E+13,70060476,Nathalia,100%,f,2,2,New York,NY,10036,Apartment,Entire home/apt,3,1,0,2,Real Bed,$154.00 ,,,$500.00 ,$95.00 ,1,$35.00 ,18,99,10,10,10,10,10,10,flexible,2,1.42
4235843,https://www.airbnb.com/rooms/4235843,2.0171E+13,20559017,Yohan,93%,f,10,10,New York,NY,10029,Apartment,Private room,1,1,1,1,Real Bed,$60.00 ,,"$1,700.00 ",$500.00 ,$125.00 ,1,$0.00 ,3,67,6,6,9,9,9,5,strict,7,0.08
5432930,https://www.airbnb.com/rooms/5432930,2.0171E+13,3502236,Shikha,,f,1,1,Queens,NY,11101,Apartment,Entire home/apt,4,1,1,1,Real Bed,$140.00 ,,,,$50.00 ,2,$20.00 ,0,,,,,,,,flexible,1,
9750432,https://www.airbnb.com/rooms/9750432,2.0171E+13,50293532,Lucia,,f,1,1,New York,NY,10025,Apartment,Entire home/apt,3,1,2,1,Real Bed,$250.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,1,
20016090,https://www.airbnb.com/rooms/20016090,2.0171E+13,94543144,Sara,100%,f,1,1,Brooklyn,NY,11221,Apartment,Entire home/apt,4,1,1,2,Real Bed,$152.00 ,,,$300.00 ,$90.00 ,2,$25.00 ,6,100,10,10,10,10,10,10,strict,1,3.53
18569422,https://www.airbnb.com/rooms/18569422,2.0171E+13,35741929,Assol,100%,f,2,2,Brooklyn,NY,11213,Apartment,Private room,1,1,1,1,Real Bed,$70.00 ,,,,,1,$0.00 ,16,99,10,10,10,10,10,10,flexible,2,3.45
4514042,https://www.airbnb.com/rooms/4514042,2.0171E+13,3709510,Deacon,100%,f,3,3,Brooklyn,NY,11221,Apartment,Private room,1,1.5,1,1,Real Bed,$90.00 ,$375.00 ,"$1,250.00 ",$300.00 ,,1,$0.00 ,0,,,,,,,,flexible,3,
17605729,https://www.airbnb.com/rooms/17605729,2.0171E+13,90731801,Domenica,,f,1,1,New York,NY,10009,Apartment,Private room,2,1,1,1,Real Bed,$70.00 ,,,,,1,$0.00 ,3,100,10,10,10,10,10,10,flexible,1,0.49
1552242,https://www.airbnb.com/rooms/1552242,2.0171E+13,8126811,Jessica,100%,t,1,1,long island city,NY,11101,House,Entire home/apt,6,2,2,2,Real Bed,$250.00 ,,,$300.00 ,$110.00 ,4,$25.00 ,120,96,10,10,10,10,9,9,flexible,1,2.51
627505,https://www.airbnb.com/rooms/627505,2.0171E+13,2378696,Diego,100%,f,1,1,New York,NY,10025,Apartment,Entire home/apt,7,1,2,3,Real Bed,$169.00 ,,"$4,500.00 ",$500.00 ,$75.00 ,2,$10.00 ,83,88,10,9,9,9,9,9,strict,1,1.36
13092522,https://www.airbnb.com/rooms/13092522,2.0171E+13,27714436,Rebecca,,f,1,1,Brooklyn,NY,11216,Apartment,Private room,2,2,1,1,Real Bed,$51.00 ,,,,$10.00 ,1,$0.00 ,1,100,10,10,10,10,10,10,flexible,1,0.06
17790249,https://www.airbnb.com/rooms/17790249,2.0171E+13,6512838,Dee,100%,f,2,2,New York,NY,10036,Apartment,Private room,2,1,1,2,Real Bed,$130.00 ,,,,,1,$30.00 ,5,92,8,9,10,10,10,9,strict,2,0.84
15069131,https://www.airbnb.com/rooms/15069131,2.0171E+13,8815256,Thomas,,f,1,1,Bronx,NY,10451,Apartment,Entire home/apt,2,1,1,1,Real Bed,$129.00 ,,,,$30.00 ,1,$0.00 ,0,,,,,,,,moderate,1,
13157631,https://www.airbnb.com/rooms/13157631,2.0171E+13,1143000,Gavin,100%,f,1,1,Brooklyn,NY,11211,Apartment,Entire home/apt,2,1,1,1,Real Bed,$150.00 ,,,$150.00 ,$25.00 ,2,$0.00 ,9,93,10,9,10,10,10,9,strict,1,0.63
12566413,https://www.airbnb.com/rooms/12566413,2.0171E+13,5326074,Mckinzy,100%,f,1,1,Brooklyn,NY,11249,Apartment,Entire home/apt,4,2,2,2,Real Bed,$325.00 ,,,$250.00 ,$50.00 ,2,$25.00 ,6,100,10,10,9,10,10,10,flexible,1,0.35
19874726,https://www.airbnb.com/rooms/19874726,2.0171E+13,34359486,Katherine,100%,f,1,1,New York,NY,10030,Apartment,Entire home/apt,4,1,1,2,Real Bed,$120.00 ,,,,,1,$0.00 ,3,70,6,6,10,9,4,6,flexible,1,1.14
17991859,https://www.airbnb.com/rooms/17991859,2.0171E+13,9967305,Kelly,90%,f,2,2,"New York, New York, US",NY,10023,Apartment,Private room,2,1,1,1,Real Bed,$150.00 ,,,$100.00 ,$25.00 ,1,$25.00 ,25,93,10,9,10,10,10,9,strict,2,4.57
20285620,https://www.airbnb.com/rooms/20285620,2.0171E+13,43791371,Ekaterina,100%,f,1,1,New York,NY,10002,House,Entire home/apt,7,2,3,4,Real Bed,$300.00 ,,,$0.00 ,$150.00 ,7,$50.00 ,5,100,9,9,9,9,10,9,strict,1,2.78
19583726,https://www.airbnb.com/rooms/19583726,2.0171E+13,137649895,Ginnifer,89%,f,2,2,New York,NY,10005,Vacation home,Private room,2,2,1,1,Real Bed,$135.00 ,,,,,1,$20.00 ,11,96,10,10,10,9,10,10,strict,2,3.98
15632470,https://www.airbnb.com/rooms/15632470,2.0171E+13,84841205,Yorgos,,f,1,1,Queens,NY,11106,Apartment,Private room,2,1,1,1,Real Bed,$55.00 ,,,,,1,$25.00 ,14,94,10,9,10,10,9,9,strict,1,1.38
18916155,https://www.airbnb.com/rooms/18916155,2.0171E+13,131843589,Thomas,75%,f,1,1,Queens,NY,11434,House,Entire home/apt,6,1,3,3,Real Bed,$148.00 ,,,$150.00 ,$35.00 ,6,$20.00 ,16,99,10,10,10,10,10,10,moderate,1,3.75
20761753,https://www.airbnb.com/rooms/20761753,2.0171E+13,148681567,Dinara,100%,f,1,1,Queens,NY,11104,Apartment,Private room,1,1,1,1,Real Bed,$50.00 ,,,,,1,$0.00 ,1,100,10,10,10,10,10,10,strict,1,1
2809567,https://www.airbnb.com/rooms/2809567,2.0171E+13,2347138,Theona,,f,1,1,Brooklyn,NY,11216,Apartment,Private room,2,1,1,1,Real Bed,$65.00 ,$575.00 ,"$1,500.00 ",,$20.00 ,1,$15.00 ,5,88,9,9,10,10,9,9,flexible,1,0.12
10811548,https://www.airbnb.com/rooms/10811548,2.0171E+13,19408191,Julien,,f,1,1,New York,NY,10012,Apartment,Entire home/apt,4,1,2,2,Real Bed,$149.00 ,,,,,1,$0.00 ,0,,,,,,,,strict,1,
